pair_id,pair_name,side,dataset,source_json,output_mp3
1,maestro_v3_vs_music_net,A,maestro_v3,data/processed/maestro_v3/score_0327.json,results/listening_pairs/pair_01_maestro_v3_vs_music_net/A_01_score_0327.mp3
1,maestro_v3_vs_music_net,A,maestro_v3,data/processed/maestro_v3/score_0057.json,results/listening_pairs/pair_01_maestro_v3_vs_music_net/A_02_score_0057.mp3
1,maestro_v3_vs_music_net,B,music_net,data/processed/music_net/score_0012.json,results/listening_pairs/pair_01_maestro_v3_vs_music_net/B_01_score_0012.mp3
1,maestro_v3_vs_music_net,B,music_net,data/processed/music_net/score_0140.json,results/listening_pairs/pair_01_maestro_v3_vs_music_net/B_02_score_0140.mp3
2,maestro_v3_vs_jsb_chorales,A,maestro_v3,data/processed/maestro_v3/score_0125.json,results/listening_pairs/pair_02_maestro_v3_vs_jsb_chorales/A_01_score_0125.mp3
2,maestro_v3_vs_jsb_chorales,A,maestro_v3,data/processed/maestro_v3/score_0114.json,results/listening_pairs/pair_02_maestro_v3_vs_jsb_chorales/A_02_score_0114.mp3
2,maestro_v3_vs_jsb_chorales,B,jsb_chorales,data/processed/jsb_chorales/score_0071.json,results/listening_pairs/pair_02_maestro_v3_vs_jsb_chorales/B_01_score_0071.mp3
2,maestro_v3_vs_jsb_chorales,B,jsb_chorales,data/processed/jsb_chorales/score_0377.json,results/listening_pairs/pair_02_maestro_v3_vs_jsb_chorales/B_02_score_0377.mp3
3,nes_mdb_vs_maestro_v3,A,nes_mdb,data/processed/nes_mdb/score_0052.json,results/listening_pairs/pair_03_nes_mdb_vs_maestro_v3/A_01_score_0052.mp3
3,nes_mdb_vs_maestro_v3,A,nes_mdb,data/processed/nes_mdb/score_0346.json,results/listening_pairs/pair_03_nes_mdb_vs_maestro_v3/A_02_score_0346.mp3
3,nes_mdb_vs_maestro_v3,B,maestro_v3,data/processed/maestro_v3/score_0379.json,results/listening_pairs/pair_03_nes_mdb_vs_maestro_v3/B_01_score_0379.mp3
3,nes_mdb_vs_maestro_v3,B,maestro_v3,data/processed/maestro_v3/score_0279.json,results/listening_pairs/pair_03_nes_mdb_vs_maestro_v3/B_02_score_0279.mp3
4,nes_mdb_vs_jsb_chorales,A,nes_mdb,data/processed/nes_mdb/score_0044.json,results/listening_pairs/pair_04_nes_mdb_vs_jsb_chorales/A_01_score_0044.mp3
4,nes_mdb_vs_jsb_chorales,A,nes_mdb,data/processed/nes_mdb/score_0302.json,results/listening_pairs/pair_04_nes_mdb_vs_jsb_chorales/A_02_score_0302.mp3
4,nes_mdb_vs_jsb_chorales,B,jsb_chorales,data/processed/jsb_chorales/score_0216.json,results/listening_pairs/pair_04_nes_mdb_vs_jsb_chorales/B_01_score_0216.mp3
4,nes_mdb_vs_jsb_chorales,B,jsb_chorales,data/processed/jsb_chorales/score_0016.json,results/listening_pairs/pair_04_nes_mdb_vs_jsb_chorales/B_02_score_0016.mp3
5,lakh_midi_rock_vs_lakh_midi_metal,A,lakh_midi_rock,data/processed/lakh_midi_rock/score_0015.json,results/listening_pairs/pair_05_lakh_midi_rock_vs_lakh_midi_metal/A_01_score_0015.mp3
5,lakh_midi_rock_vs_lakh_midi_metal,A,lakh_midi_rock,data/processed/lakh_midi_rock/score_0047.json,results/listening_pairs/pair_05_lakh_midi_rock_vs_lakh_midi_metal/A_02_score_0047.mp3
5,lakh_midi_rock_vs_lakh_midi_metal,B,lakh_midi_metal,data/processed/lakh_midi_metal/score_0111.json,results/listening_pairs/pair_05_lakh_midi_rock_vs_lakh_midi_metal/B_01_score_0111.mp3
5,lakh_midi_rock_vs_lakh_midi_metal,B,lakh_midi_metal,data/processed/lakh_midi_metal/score_0119.json,results/listening_pairs/pair_05_lakh_midi_rock_vs_lakh_midi_metal/B_02_score_0119.mp3
6,lakh_midi_pop_vs_lakh_midi_rock,A,lakh_midi_pop,data/processed/lakh_midi_pop/score_0258.json,results/listening_pairs/pair_06_lakh_midi_pop_vs_lakh_midi_rock/A_01_score_0258.mp3
6,lakh_midi_pop_vs_lakh_midi_rock,A,lakh_midi_pop,data/processed/lakh_midi_pop/score_0308.json,results/listening_pairs/pair_06_lakh_midi_pop_vs_lakh_midi_rock/A_02_score_0308.mp3
6,lakh_midi_pop_vs_lakh_midi_rock,B,lakh_midi_rock,data/processed/lakh_midi_rock/score_0013.json,results/listening_pairs/pair_06_lakh_midi_pop_vs_lakh_midi_rock/B_01_score_0013.mp3
6,lakh_midi_pop_vs_lakh_midi_rock,B,lakh_midi_rock,data/processed/lakh_midi_rock/score_0287.json,results/listening_pairs/pair_06_lakh_midi_pop_vs_lakh_midi_rock/B_02_score_0287.mp3
